name,map,AP(rel=2),P(rel=2)@10,nDCG,nDCG@10,nDCG@100,mrt
TF_IDF,0.15422025926229482,0.1381197891603449,0.5160000000000001,0.35370800411561715,0.6009036142035984,0.4197784961404932,114.22302342019975
BM25,0.1181325497331181,0.10620904217264343,0.39399999999999996,0.2939672554708979,0.4711569087250665,0.3382458128011077,92.09999846294522
BM25 >> BERT,0.0605933039363801,0.04847891671730833,0.04000000000000001,0.23672052811589434,0.04136267791858795,0.10216589941268835,9481.00220296532
BM25 >> SLEDGE,0.16613381543391,0.16087869116210368,0.6179999999999999,0.330889413630858,0.712325411367428,0.5087111221294685,8986.26871949993
BM25 >> BERT c=10,0.008770584963776626,0.010700424606692153,0.392,0.038972184985561806,0.46713473409271095,0.1021505235472253,173.49518702365458
BM25 >> BERT c=20,0.015418824457978451,0.017701625719902303,0.4360000000000001,0.05629626161104406,0.4854708087815021,0.14708295983891884,271.2156231980771
BM25 >> BERT c=30,0.019807695795006686,0.022595126403529453,0.39199999999999996,0.06685624525721806,0.42249337738859943,0.17555485072194382,368.1063419021666
BM25 >> BERT c=40,0.0240632165972259,0.02561865240277221,0.3760000000000001,0.07595440672246942,0.4193133080090008,0.20183983695776547,468.6420536413789
BM25 >> BERT c=50,0.02830625808748961,0.030364049490796727,0.37200000000000005,0.08597374345156059,0.41120218817224347,0.2283436234250648,570.4091116599739
BM25 >> BERT c=60,0.03087964791422624,0.031376683391670115,0.31600000000000006,0.09165541709352015,0.35656478262802244,0.24363958460932764,670.7080060616136
BM25 >> BERT c=70,0.03393641245278127,0.034169793635689415,0.31200000000000006,0.09817826350683329,0.346174061388103,0.2634663631813344,787.9338843468577
BM25 >> BERT c=80,0.03694327321911922,0.03674639909953886,0.298,0.1049274469800912,0.3357054381242437,0.28246976096551557,886.3337028212845
BM25 >> BERT c=90,0.03901105486687059,0.038406535321316736,0.286,0.10992161162924308,0.3292834556886415,0.29817733251455636,986.5995985642076
BM25 >> BERT c=100,0.04095593695714871,0.040004277273105286,0.27,0.11464109045114806,0.3075711860512621,0.31071434934959713,1086.3282291963696
BM25 >> SLEDGE c=10,0.010641020253356247,0.013836021006539747,0.392,0.045282696164089205,0.5267654114011022,0.11546306821454999,174.9598434753716
BM25 >> SLEDGE c=20,0.018486893546232133,0.02348759727615606,0.5159999999999999,0.06490095990725425,0.6310232461269534,0.1683326309094176,256.47175669670105
BM25 >> SLEDGE c=30,0.025600383020639546,0.03174902602238444,0.5519999999999999,0.08094350304215643,0.6692098454975063,0.2099257869772917,353.84926320053637
BM25 >> SLEDGE c=40,0.031243529390179398,0.03653791486828879,0.556,0.09079596233445644,0.6702428312174338,0.23804592853292314,443.1968494039029
BM25 >> SLEDGE c=50,0.03778895941652477,0.04404320877879917,0.5799999999999998,0.10278346045419022,0.6858349371596033,0.2689846870203147,539.3313868809491
BM25 >> SLEDGE c=60,0.042711369279447034,0.048095659715254015,0.5739999999999998,0.11139210890943513,0.679585504865759,0.29176745385078834,634.142678854987
BM25 >> SLEDGE c=70,0.0476006061322771,0.053108216145444864,0.5859999999999997,0.12010859430671966,0.6890716475815324,0.31629528657273304,741.4161952212453
BM25 >> SLEDGE c=80,0.05237518863217292,0.05898379776022962,0.5799999999999996,0.12875418176080594,0.6831323984283193,0.33992117305697866,834.5231332443655
BM25 >> SLEDGE c=90,0.056453264778205885,0.06265595522882011,0.5819999999999997,0.13541248351196167,0.6839779981200461,0.35907727803621603,930.9170743450522
BM25 >> SLEDGE c=100,0.06046786398741828,0.06751625309901566,0.5879999999999999,0.14232230553707423,0.6828415572916731,0.37726739070499443,1020.4661053791642
