name,map,AP(rel=2),P(rel=2)@10,nDCG,nDCG@10,nDCG@100,mrt
TF_IDF,0.2279631297345621,0.20416265407501094,0.55,0.45366862222153165,0.6514644854502589,0.511111432326139,102.17650979757309
BM25,0.2222604362519399,0.19589118143957396,0.526,0.4511643575324121,0.6232562560098154,0.4829767766945072,55.80629044212401
BM25 >> BERT,0.11687502798222159,0.09306960399572342,0.06200000000000002,0.3689303763715803,0.06737687666729862,0.15144619350780486,33134.880951596424
BM25 >> SLEDGE,0.24276728816129584,0.22510249205240904,0.6259999999999998,0.46666981881169145,0.7172846632639249,0.5576501075975014,30852.134857643396
BM25 >> BERT c=10,0.012514763304120404,0.016062385505898925,0.52,0.05062174029357222,0.6015785445109187,0.13217921782028372,346.9677837193012
BM25 >> BERT c=20,0.0222068684629918,0.025587583840063953,0.5159999999999999,0.07298564563062943,0.5782459106030047,0.1904613158510605,661.2117636017501
BM25 >> BERT c=30,0.03155488700063731,0.03385773651581348,0.5239999999999999,0.09193606554357193,0.5763538093749131,0.24349036940645186,1011.076406640932
BM25 >> BERT c=40,0.03825753858574275,0.041462278428188816,0.48999999999999994,0.10629681019423617,0.5409786606473981,0.28124265104862395,1320.4470391757786
BM25 >> BERT c=50,0.04489263809527763,0.046662211070340257,0.47,0.11868287763881667,0.5195972781647549,0.31686217885487933,1653.273258022964
BM25 >> BERT c=60,0.05072380087792085,0.052453406116979934,0.4520000000000001,0.12958969757182723,0.49878685414307533,0.3470124617991299,1989.8905281629413
BM25 >> BERT c=70,0.05586295208449581,0.056102961388868035,0.42800000000000005,0.1387657159768172,0.4772499347374336,0.37299315907052355,2324.5552698988467
BM25 >> BERT c=80,0.06032657251302017,0.060552667977788695,0.41200000000000003,0.14744018825168614,0.453016788716683,0.3972414048718591,2644.144796356559
BM25 >> BERT c=90,0.06468352827629613,0.06362724263997778,0.39599999999999996,0.15597068806562409,0.44393427793167334,0.4214313234398485,2985.907270507887
BM25 >> BERT c=100,0.06764639682623287,0.06638205250830477,0.38600000000000007,0.16206975503677118,0.4185925344659773,0.44233426940425796,3340.764074008912
BM25 >> SLEDGE c=10,0.013975125726238123,0.018597866731196757,0.52,0.05498669929109846,0.6459184663250978,0.14188922226132783,322.70522070117295
BM25 >> SLEDGE c=20,0.025196431602539978,0.030626470087115328,0.638,0.08055557784964468,0.7364408853567527,0.21024231394740248,623.7972746230662
BM25 >> SLEDGE c=30,0.03753930477676303,0.04353096735848703,0.6679999999999999,0.1040411297408659,0.7685805876749993,0.27171595054128106,944.8929827194661
BM25 >> SLEDGE c=40,0.04651596968621645,0.052962833623217305,0.6659999999999999,0.12006176368071719,0.7621662964061849,0.31378302104185957,1240.4750094003975
BM25 >> SLEDGE c=50,0.05525534673571287,0.06229728486357255,0.682,0.135345584224431,0.7724321942230568,0.3556919410735489,1544.818803416565
BM25 >> SLEDGE c=60,0.06343852134887128,0.07038091414132919,0.6699999999999998,0.14818264164125697,0.7618619325681096,0.3894474629013856,1861.1426577158272
BM25 >> SLEDGE c=70,0.06994090135031693,0.07713369891757646,0.672,0.15913851635131374,0.7629118222341518,0.42068839536001235,2169.646709281951
BM25 >> SLEDGE c=80,0.07670479694850284,0.08409519456319257,0.6659999999999998,0.16992580650728545,0.7565655666611276,0.4495426975235439,2475.559862339869
BM25 >> SLEDGE c=90,0.08317117952106737,0.09078560165307775,0.6739999999999999,0.18054505642220872,0.7652788930883254,0.47912847014327203,2783.0109508056194
BM25 >> SLEDGE c=100,0.0879192436696914,0.09485837651213773,0.6579999999999999,0.18818658587407647,0.7463475499217715,0.5041191051523657,3115.252487100661
