name,map,AP(rel=2),P(rel=2)@10,nDCG,nDCG@10,nDCG@100,mrt
TF_IDF,0.2579129707229954,0.23143355459376846,0.6020000000000001,0.4861898559933116,0.6878055105736717,0.5408509811054847,159.7754516173154
BM25,0.24263139968626757,0.2148747999500238,0.5540000000000002,0.47361818550587487,0.6390717402359696,0.5084119541061412,77.09316028282046
BM25 >> BERT,0.12948563867808294,0.10257532603694947,0.08400000000000002,0.38994967865785213,0.08949809286530044,0.16970655961545866,9306.603894000873
BM25 >> SLEDGE,0.25682906434892194,0.23761961500325268,0.6359999999999999,0.48718685893242314,0.7228157111567092,0.5629933290069353,8694.787954725325
BM25 >> BERT c=10,0.013551524419329093,0.017870697087381364,0.55,0.05226840168753384,0.6307496928527703,0.13855500887381642,147.1802928391844
BM25 >> BERT c=20,0.022644938464103884,0.026281264587810646,0.544,0.0732954090637966,0.6102970573324984,0.19734389332840038,228.11116700060666
BM25 >> BERT c=30,0.031630300088827966,0.03489887542081883,0.5239999999999998,0.09200467640568499,0.5773075351865292,0.24735603424736508,323.9526745583862
BM25 >> BERT c=40,0.0389962899303675,0.04227565108313208,0.49400000000000005,0.10721716109826096,0.5504418621980144,0.2889923985389568,408.2537701167166
BM25 >> BERT c=50,0.045766375581991016,0.04943521830961779,0.4640000000000001,0.12052329183978715,0.5279943176074109,0.32470222345740574,505.3642787784338
BM25 >> BERT c=60,0.051570142116039996,0.053323020232921445,0.462,0.1305170960276054,0.5247745159200724,0.35806150890503835,599.8229837603867
BM25 >> BERT c=70,0.058168154074568316,0.059450185260156246,0.44,0.14209431437219297,0.5030381849334873,0.39006391103460863,696.0246265586466
BM25 >> BERT c=80,0.0637764640860896,0.06334830203888714,0.436,0.1524700875892425,0.500275540449172,0.41968747834322584,780.7114919088781
BM25 >> BERT c=90,0.06998224304770775,0.06985705462847835,0.426,0.16434049922214983,0.49712918515616467,0.45132185498849803,880.2837398648262
BM25 >> BERT c=100,0.07529313401502491,0.07427362131812595,0.40199999999999997,0.17314985296623583,0.46954544930035014,0.4775689945463797,972.97990296036
BM25 >> SLEDGE c=10,0.014296993334860609,0.01979004550364344,0.55,0.054409848436502546,0.650806261264616,0.14295240464732198,136.56704193912446
BM25 >> SLEDGE c=20,0.025492746526774582,0.030445617367157212,0.6360000000000001,0.07882979029245958,0.7155040500587208,0.20968635488501888,217.4047263432294
BM25 >> SLEDGE c=30,0.037208497643898095,0.042582128390965035,0.648,0.10212076577996002,0.7409491979187949,0.2703618897893717,304.12636858411133
BM25 >> SLEDGE c=40,0.046751606960340635,0.05290519183458448,0.65,0.119429199631111,0.7415816632663357,0.3169347945998762,386.37642620131373
BM25 >> SLEDGE c=50,0.05531202989329238,0.0626363196970413,0.654,0.13517091939727952,0.7461981481474063,0.3580094375254211,476.51092767715454
BM25 >> SLEDGE c=60,0.06346256281465004,0.07086824374643387,0.644,0.14759870993234325,0.7376989435822907,0.39461075262939865,566.2412950210273
BM25 >> SLEDGE c=70,0.07156480511482205,0.07911702467889116,0.654,0.16044661803592575,0.7425922113391937,0.4304992558954313,651.97654847987
BM25 >> SLEDGE c=80,0.07923939207103219,0.08629488074822608,0.66,0.17265974607787998,0.7434663141086336,0.4634394469222115,737.37734047696
BM25 >> SLEDGE c=90,0.08760158892388889,0.09576536478465862,0.666,0.18588452404412975,0.7516123163547099,0.4985791376098457,825.0875745806843
BM25 >> SLEDGE c=100,0.09437283833051369,0.10312986072977706,0.6700000000000002,0.1964792953347995,0.7474922134680183,0.5296527373460256,917.9897686000913
