name,map,AP(rel=2),P(rel=2)@10,nDCG,nDCG@10,nDCG@100,mrt
TF_IDF,0.19164602014350238,0.17310147873044276,0.5179999999999999,0.410436639609752,0.6042719971115905,0.4669997378049669,118.36119011975825
BM25,0.18478371501925583,0.16426560816841942,0.4759999999999999,0.40565381941983153,0.566015077691991,0.4438366945709698,62.06245804205537
BM25 >> BERT,0.10102336011585536,0.07978272088214686,0.078,0.3350828065526871,0.08166452932678549,0.1466764851014445,31038.722099540755
BM25 >> SLEDGE,0.22056619613172854,0.20692745657524778,0.6160000000000001,0.4311691144780581,0.7139670810508979,0.5471444009035915,28799.608816918917
BM25 >> BERT c=10,0.011143826183723787,0.013805298716734875,0.47600000000000003,0.046225319619756663,0.5597750338459736,0.12262192570559667,338.32818659953773
BM25 >> BERT c=20,0.020018459559945655,0.023979533691391455,0.526,0.06960122627560489,0.600441974889831,0.18535624659111455,635.5355295818299
BM25 >> BERT c=30,0.026997954491958808,0.03242351212708334,0.512,0.08547686854952334,0.5633432494876915,0.22637436129927593,946.362915779464
BM25 >> BERT c=40,0.03176730872423546,0.035206501404551824,0.44000000000000006,0.09496291038694162,0.49747371672413004,0.25676082941512746,1252.9146143980324
BM25 >> BERT c=50,0.03683947556206871,0.04050626338307169,0.43000000000000005,0.10534174628896961,0.47333019617852384,0.2868850448533899,1564.066788237542
BM25 >> BERT c=60,0.04159121248647639,0.04455206739084655,0.4000000000000001,0.11501429011474905,0.45232505267773293,0.31466926918890364,1900.09470412042
BM25 >> BERT c=70,0.0459089585402457,0.047770304658392805,0.39,0.12418623835299013,0.43755982821976774,0.33957223206338005,2203.0707670608535
BM25 >> BERT c=80,0.049824238715157856,0.05133269224260489,0.3760000000000001,0.1324783529972879,0.415345841418726,0.3662296680398082,2531.4592899009585
BM25 >> BERT c=90,0.05279704515346206,0.05388756850670208,0.352,0.13974915533866167,0.3888525410096342,0.3862278734128909,2836.991924759932
BM25 >> BERT c=100,0.05564266187410721,0.05605837491216077,0.33000000000000007,0.14600691045019185,0.36588039257724586,0.40466512658922127,3149.6664885198697
BM25 >> SLEDGE c=10,0.012363925827753973,0.017064863190738386,0.47600000000000003,0.05140347959756473,0.6096097312089108,0.13364181291373203,320.2809343021363
BM25 >> SLEDGE c=20,0.023147379667090403,0.029767925477995383,0.6299999999999999,0.07661763878947771,0.7210247560093545,0.19974944941659797,606.1870211409405
BM25 >> SLEDGE c=30,0.03218991188870364,0.03947821458280796,0.6280000000000001,0.09462421174865478,0.7207279691272155,0.24798575046972812,893.2077669398859
BM25 >> SLEDGE c=40,0.03966750108593897,0.04699667796981084,0.652,0.10851046821624566,0.7397488762590245,0.2888909676126947,1184.25896207802
BM25 >> SLEDGE c=50,0.046623401051601586,0.05480547620328595,0.6539999999999998,0.12215429259215828,0.7476319476394534,0.3271311364931202,1469.0440925210714
BM25 >> SLEDGE c=60,0.053751166310387476,0.06272846868174105,0.65,0.13394165304904776,0.74112105353243,0.35957829257327406,1782.5006973231211
BM25 >> SLEDGE c=70,0.05992540642164408,0.0681712118570381,0.6379999999999999,0.14475879430628077,0.7391084273547572,0.3899466673653844,2066.9297829596326
BM25 >> SLEDGE c=80,0.06664819138303853,0.07597386113020638,0.632,0.1562603030688682,0.7303579855137641,0.4227838280873211,2370.995202823542
BM25 >> SLEDGE c=90,0.07207301032244304,0.08037214906061683,0.622,0.1657252906935963,0.7251475906880104,0.44838036151665295,2655.0008065393195
BM25 >> SLEDGE c=100,0.07777232035139903,0.08644430895745833,0.622,0.17476961683397818,0.7210161666986455,0.4730908672641715,2945.169603759423
